ward,precinct,office,district,party,candidate,votes
4,45,President,,DEM,DENNIS J. KUCINICH ,0
4,45,President,,DEM,HILLARY CLINTON ,124
4,45,President,,DEM,BARACK OBAMA ,616
4,45,President,,DEM,UNCOMMITTED ,2
4,45,President,,DEM,Write-ins,0
4,45,President,,DEM,Total,743
4,45,President,,REP,MIKE HUCKABEE ,3
4,45,President,,REP,MITT ROMNEY ,0
4,45,President,,REP,JOHN MCCAIN ,5
4,45,President,,REP,RON PAUL ,1
4,45,President,,REP,RUDY GIULIANI ,0
4,45,President,,REP,Total,9
4,46,President,,DEM,BILL RICHARDSON ,0
4,46,President,,DEM,JOHN EDWARDS ,0
4,46,President,,DEM,DENNIS J. KUCINICH ,4
4,46,President,,DEM,HILLARY CLINTON ,197
4,46,President,,DEM,BARACK OBAMA ,873
4,46,President,,DEM,UNCOMMITTED ,5
4,46,President,,DEM,Write-ins,0
4,46,President,,DEM,Total,1079
4,46,President,,REP,MIKE HUCKABEE ,0
4,46,President,,REP,MITT ROMNEY ,0
4,46,President,,REP,JOHN MCCAIN ,2
4,46,President,,REP,RON PAUL ,1
4,46,President,,REP,RUDY GIULIANI ,0
4,46,President,,REP,Total,3
4,47,President,,DEM,BILL RICHARDSON ,0
4,47,President,,DEM,JOHN EDWARDS ,2
4,47,President,,DEM,DENNIS J. KUCINICH ,3
4,47,President,,DEM,HILLARY CLINTON ,219
4,47,President,,DEM,BARACK OBAMA ,775
4,47,President,,DEM,UNCOMMITTED ,2
4,47,President,,DEM,Write-ins,0
4,47,President,,DEM,Total,1001
4,47,President,,REP,MIKE HUCKABEE ,6
4,47,President,,REP,MITT ROMNEY ,2
4,47,President,,REP,JOHN MCCAIN ,13
4,47,President,,REP,RON PAUL ,2
4,47,President,,REP,RUDY GIULIANI ,2
4,47,President,,REP,Total,25
4,48,President,,DEM,BILL RICHARDSON ,0
4,48,President,,DEM,JOHN EDWARDS ,2
4,48,President,,DEM,DENNIS J. KUCINICH ,0
4,48,President,,DEM,HILLARY CLINTON ,225
4,48,President,,DEM,BARACK OBAMA ,904
4,48,President,,DEM,UNCOMMITTED ,2
4,48,President,,DEM,Write-ins,1
4,48,President,,DEM,Total,1134
4,48,President,,REP,MIKE HUCKABEE ,6
4,48,President,,REP,MITT ROMNEY ,0
4,48,President,,REP,JOHN MCCAIN ,22
4,48,President,,REP,RON PAUL ,1
4,48,President,,REP,RUDY GIULIANI ,1
4,48,President,,REP,Total,30
4,49,President,,DEM,BILL RICHARDSON ,0
4,49,President,,DEM,JOHN EDWARDS ,1
4,49,President,,DEM,DENNIS J. KUCINICH ,1
4,49,President,,DEM,HILLARY CLINTON ,39
4,49,President,,DEM,BARACK OBAMA ,190
4,49,President,,DEM,UNCOMMITTED ,1
4,49,President,,DEM,Write-ins,0
4,49,President,,DEM,Total,232
4,49,President,,REP,MIKE HUCKABEE ,4
4,49,President,,REP,MITT ROMNEY ,0
4,49,President,,REP,JOHN MCCAIN ,4
4,49,President,,REP,RON PAUL ,0
4,49,President,,REP,RUDY GIULIANI ,0
4,49,President,,REP,Total,8
3,50,President,,DEM,BILL RICHARDSON ,8
3,50,President,,DEM,JOHN EDWARDS ,4
3,50,President,,DEM,DENNIS J. KUCINICH ,1
3,50,President,,DEM,HILLARY CLINTON ,347
3,50,President,,DEM,BARACK OBAMA ,721
3,50,President,,DEM,UNCOMMITTED ,3
3,50,President,,DEM,Write-ins,2
3,50,President,,DEM,Total,1086
3,50,President,,REP,MIKE HUCKABEE ,14
3,50,President,,REP,MITT ROMNEY ,6
3,50,President,,REP,JOHN MCCAIN ,75
3,50,President,,REP,RON PAUL ,6
3,50,President,,REP,RUDY GIULIANI ,3
3,50,President,,REP,Total,104
4,51,President,,DEM,BILL RICHARDSON ,3
4,51,President,,DEM,JOHN EDWARDS ,7
4,51,President,,DEM,DENNIS J. KUCINICH ,2
4,51,President,,DEM,HILLARY CLINTON ,587
4,51,President,,DEM,BARACK OBAMA ,1250
4,51,President,,DEM,UNCOMMITTED ,2
4,51,President,,DEM,Write-ins,3
4,51,President,,DEM,Total,1854
4,51,President,,REP,MIKE HUCKABEE ,19
4,51,President,,REP,MITT ROMNEY ,6
4,51,President,,REP,JOHN MCCAIN ,136
4,51,President,,REP,RON PAUL ,10
4,51,President,,REP,RUDY GIULIANI ,2
4,51,President,,REP,Total,173
4,52,President,,DEM,BILL RICHARDSON ,2
4,52,President,,DEM,JOHN EDWARDS ,2
4,52,President,,DEM,DENNIS J. KUCINICH ,2
4,52,President,,DEM,HILLARY CLINTON ,243
4,52,President,,DEM,BARACK OBAMA ,470
4,52,President,,DEM,UNCOMMITTED ,1
4,52,President,,DEM,Write-ins,0
4,52,President,,DEM,Total,720
4,52,President,,REP,MIKE HUCKABEE ,5
4,52,President,,REP,MITT ROMNEY ,2
4,52,President,,REP,JOHN MCCAIN ,47
4,52,President,,REP,RON PAUL ,1
4,52,President,,REP,RUDY GIULIANI ,0
4,52,President,,REP,Total,55
4,53,President,,DEM,BILL RICHARDSON ,2
4,53,President,,DEM,JOHN EDWARDS ,0
4,53,President,,DEM,DENNIS J. KUCINICH ,1
4,53,President,,DEM,HILLARY CLINTON ,117
4,53,President,,DEM,BARACK OBAMA ,426
4,53,President,,DEM,UNCOMMITTED ,2
4,53,President,,DEM,Write-ins,0
4,53,President,,DEM,Total,548
4,53,President,,REP,MIKE HUCKABEE ,6
4,53,President,,REP,MITT ROMNEY ,0
4,53,President,,REP,JOHN MCCAIN ,6
4,53,President,,REP,RON PAUL ,2
4,53,President,,REP,RUDY GIULIANI ,0
4,53,President,,REP,Total,14
4,54,President,,DEM,BILL RICHARDSON ,1
4,54,President,,DEM,JOHN EDWARDS ,1
4,54,President,,DEM,DENNIS J. KUCINICH ,2
4,54,President,,DEM,HILLARY CLINTON ,168
4,54,President,,DEM,BARACK OBAMA ,756
4,54,President,,DEM,UNCOMMITTED ,3
4,54,President,,DEM,Write-ins,2
4,54,President,,DEM,Total,933
4,54,President,,REP,MIKE HUCKABEE ,5
4,54,President,,REP,MITT ROMNEY ,2
4,54,President,,REP,JOHN MCCAIN ,9
4,54,President,,REP,RON PAUL ,2
4,54,President,,REP,RUDY GIULIANI ,1
4,54,President,,REP,Total,19
4,55,President,,DEM,BILL RICHARDSON ,0
4,55,President,,DEM,JOHN EDWARDS ,3
4,55,President,,DEM,DENNIS J. KUCINICH ,0
4,55,President,,DEM,HILLARY CLINTON ,122
4,55,President,,DEM,BARACK OBAMA ,760
4,55,President,,DEM,UNCOMMITTED ,1
4,55,President,,DEM,Write-ins,2
4,55,President,,DEM,Total,888
4,55,President,,REP,MIKE HUCKABEE ,4
4,55,President,,REP,MITT ROMNEY ,0
4,55,President,,REP,JOHN MCCAIN ,6
4,55,President,,REP,RON PAUL ,0
4,55,President,,REP,RUDY GIULIANI ,0
4,55,President,,REP,Total,10
4,56,President,,DEM,BILL RICHARDSON ,0
4,56,President,,DEM,JOHN EDWARDS ,2
4,56,President,,DEM,DENNIS J. KUCINICH ,1
4,56,President,,DEM,HILLARY CLINTON ,202
4,56,President,,DEM,BARACK OBAMA ,866
4,56,President,,DEM,UNCOMMITTED ,9
4,56,President,,DEM,Write-ins,0
4,56,President,,DEM,Total,1080
4,56,President,,REP,MIKE HUCKABEE ,3
4,56,President,,REP,MITT ROMNEY ,0
4,56,President,,REP,JOHN MCCAIN ,2
4,56,President,,REP,RON PAUL ,0
4,56,President,,REP,RUDY GIULIANI ,1
4,56,President,,REP,Total,6
4,57,President,,DEM,BILL RICHARDSON ,0
4,57,President,,DEM,JOHN EDWARDS ,5
4,57,President,,DEM,DENNIS J. KUCINICH ,0
4,57,President,,DEM,HILLARY CLINTON ,153
4,57,President,,DEM,BARACK OBAMA ,928
4,57,President,,DEM,UNCOMMITTED ,1
4,57,President,,DEM,Write-ins,0
4,57,President,,DEM,Total,1087
4,57,President,,REP,MIKE HUCKABEE ,8
4,57,President,,REP,MITT ROMNEY ,0
4,57,President,,REP,JOHN MCCAIN ,3
4,57,President,,REP,RON PAUL ,1
4,57,President,,REP,RUDY GIULIANI ,0
4,57,President,,REP,Total,12
4,58,President,,DEM,BILL RICHARDSON ,0
4,58,President,,DEM,JOHN EDWARDS ,2
4,58,President,,DEM,DENNIS J. KUCINICH ,3
4,58,President,,DEM,HILLARY CLINTON ,127
4,58,President,,DEM,BARACK OBAMA ,795
4,58,President,,DEM,UNCOMMITTED ,1
4,58,President,,DEM,Write-ins,0
4,58,President,,DEM,Total,928
4,58,President,,REP,MIKE HUCKABEE ,3
4,58,President,,REP,MITT ROMNEY ,0
4,58,President,,REP,JOHN MCCAIN ,5
4,58,President,,REP,RON PAUL ,0
4,58,President,,REP,RUDY GIULIANI ,0
4,58,President,,REP,Total,8
4,59,President,,DEM,BILL RICHARDSON ,1
4,59,President,,DEM,JOHN EDWARDS ,0
4,59,President,,DEM,DENNIS J. KUCINICH ,1
4,59,President,,DEM,HILLARY CLINTON ,190
4,59,President,,DEM,BARACK OBAMA ,898
4,59,President,,DEM,UNCOMMITTED ,3
4,59,President,,DEM,Write-ins,1
4,59,President,,DEM,Total,1094
4,59,President,,REP,MIKE HUCKABEE ,5
4,59,President,,REP,MITT ROMNEY ,2
4,59,President,,REP,JOHN MCCAIN ,7
4,59,President,,REP,RON PAUL ,1
4,59,President,,REP,RUDY GIULIANI ,0
4,59,President,,REP,Total,15
4,60,President,,DEM,BILL RICHARDSON ,1
4,60,President,,DEM,JOHN EDWARDS ,3
4,60,President,,DEM,DENNIS J. KUCINICH ,1
4,60,President,,DEM,HILLARY CLINTON ,140
4,60,President,,DEM,BARACK OBAMA ,605
4,60,President,,DEM,UNCOMMITTED ,2
4,60,President,,DEM,Write-ins,1
4,60,President,,DEM,Total,753
4,60,President,,REP,MIKE HUCKABEE ,4
4,60,President,,REP,MITT ROMNEY ,0
4,60,President,,REP,JOHN MCCAIN ,7
4,60,President,,REP,RON PAUL ,1
4,60,President,,REP,RUDY GIULIANI ,1
4,60,President,,REP,Total,13
4,61,President,,DEM,BILL RICHARDSON ,1
4,61,President,,DEM,JOHN EDWARDS ,2
4,61,President,,DEM,DENNIS J. KUCINICH ,1
4,61,President,,DEM,HILLARY CLINTON ,116
4,61,President,,DEM,BARACK OBAMA ,620
4,61,President,,DEM,UNCOMMITTED ,2
4,61,President,,DEM,Write-ins,0
4,61,President,,DEM,Total,742
4,61,President,,REP,MIKE HUCKABEE ,6
4,61,President,,REP,MITT ROMNEY ,1
4,61,President,,REP,JOHN MCCAIN ,5
4,61,President,,REP,RON PAUL ,0
4,61,President,,REP,RUDY GIULIANI ,0
4,61,President,,REP,Total,12
4,62,President,,DEM,BILL RICHARDSON ,0
4,62,President,,DEM,JOHN EDWARDS ,0
4,62,President,,DEM,DENNIS J. KUCINICH ,1
4,62,President,,DEM,HILLARY CLINTON ,312
4,62,President,,DEM,BARACK OBAMA ,1565
4,62,President,,DEM,UNCOMMITTED ,4
4,62,President,,DEM,Write-ins,0
4,62,President,,DEM,Total,1882
4,62,President,,REP,MIKE HUCKABEE ,10
4,62,President,,REP,MITT ROMNEY ,1
4,62,President,,REP,JOHN MCCAIN ,32
4,62,President,,REP,RON PAUL ,5
4,62,President,,REP,RUDY GIULIANI ,0
4,62,President,,REP,Total,48
4,63,President,,DEM,BILL RICHARDSON ,0
4,63,President,,DEM,JOHN EDWARDS ,4
4,63,President,,DEM,DENNIS J. KUCINICH ,5
4,63,President,,DEM,HILLARY CLINTON ,297
4,63,President,,DEM,BARACK OBAMA ,1151
4,63,President,,DEM,UNCOMMITTED ,2
4,63,President,,DEM,Write-ins,1
4,63,President,,DEM,Total,1460
4,63,President,,REP,MIKE HUCKABEE ,6
4,63,President,,REP,MITT ROMNEY ,2
4,63,President,,REP,JOHN MCCAIN ,12
4,63,President,,REP,RON PAUL ,1
4,63,President,,REP,RUDY GIULIANI ,0
4,63,President,,REP,Total,21
4,64,President,,DEM,BILL RICHARDSON ,0
4,64,President,,DEM,JOHN EDWARDS ,1
4,64,President,,DEM,DENNIS J. KUCINICH ,2
4,64,President,,DEM,HILLARY CLINTON ,175
4,64,President,,DEM,BARACK OBAMA ,908
4,64,President,,DEM,UNCOMMITTED ,6
4,64,President,,DEM,Write-ins,0
4,64,President,,DEM,Total,1092
4,64,President,,REP,MIKE HUCKABEE ,4
4,64,President,,REP,MITT ROMNEY ,0
4,64,President,,REP,JOHN MCCAIN ,7
4,64,President,,REP,RON PAUL ,1
4,64,President,,REP,RUDY GIULIANI ,0
4,64,President,,REP,Total,12
4,65,President,,DEM,BILL RICHARDSON ,1
4,65,President,,DEM,JOHN EDWARDS ,2
4,65,President,,DEM,DENNIS J. KUCINICH ,0
4,65,President,,DEM,HILLARY CLINTON ,194
4,65,President,,DEM,BARACK OBAMA ,1113
4,65,President,,DEM,UNCOMMITTED ,7
4,65,President,,DEM,Write-ins,2
4,65,President,,DEM,Total,1319
4,65,President,,REP,MIKE HUCKABEE ,3
4,65,President,,REP,MITT ROMNEY ,2
4,65,President,,REP,JOHN MCCAIN ,3
4,65,President,,REP,RON PAUL ,0
4,65,President,,REP,RUDY GIULIANI ,0
4,65,President,,REP,Total,8
5,66,President,,DEM,BILL RICHARDSON ,0
5,66,President,,DEM,JOHN EDWARDS ,5
5,66,President,,DEM,DENNIS J. KUCINICH ,1
5,66,President,,DEM,HILLARY CLINTON ,279
5,66,President,,DEM,BARACK OBAMA ,1767
5,66,President,,DEM,UNCOMMITTED ,3
5,66,President,,DEM,Write-ins,1
5,66,President,,DEM,Total,2056
5,66,President,,REP,MIKE HUCKABEE ,10
5,66,President,,REP,MITT ROMNEY ,3
5,66,President,,REP,JOHN MCCAIN ,7
5,66,President,,REP,RON PAUL ,2
5,66,President,,REP,RUDY GIULIANI ,1
5,66,President,,REP,Total,23
5,67,President,,DEM,BILL RICHARDSON ,0
5,67,President,,DEM,JOHN EDWARDS ,1
5,67,President,,DEM,DENNIS J. KUCINICH ,1
5,67,President,,DEM,HILLARY CLINTON ,189
5,67,President,,DEM,BARACK OBAMA ,1255
5,67,President,,DEM,UNCOMMITTED ,4
5,67,President,,DEM,Write-ins,2
5,67,President,,DEM,Total,1452
5,67,President,,REP,MIKE HUCKABEE ,4
5,67,President,,REP,MITT ROMNEY ,1
5,67,President,,REP,JOHN MCCAIN ,7
5,67,President,,REP,RON PAUL ,1
5,67,President,,REP,RUDY GIULIANI ,1
5,67,President,,REP,Total,14
5,68,President,,DEM,BILL RICHARDSON ,3
5,68,President,,DEM,JOHN EDWARDS ,5
5,68,President,,DEM,DENNIS J. KUCINICH ,5
5,68,President,,DEM,HILLARY CLINTON ,160
5,68,President,,DEM,BARACK OBAMA ,665
5,68,President,,DEM,UNCOMMITTED ,2
5,68,President,,DEM,Write-ins,0
5,68,President,,DEM,Total,840
5,68,President,,REP,MIKE HUCKABEE ,9
5,68,President,,REP,MITT ROMNEY ,1
5,68,President,,REP,JOHN MCCAIN ,20
5,68,President,,REP,RON PAUL ,4
5,68,President,,REP,RUDY GIULIANI ,0
5,68,President,,REP,Total,34
5,69,President,,DEM,BILL RICHARDSON ,0
5,69,President,,DEM,JOHN EDWARDS ,2
5,69,President,,DEM,DENNIS J. KUCINICH ,1
5,69,President,,DEM,HILLARY CLINTON ,148
5,69,President,,DEM,BARACK OBAMA ,810
5,69,President,,DEM,UNCOMMITTED ,2
5,69,President,,DEM,Write-ins,0
5,69,President,,DEM,Total,963
5,69,President,,REP,MIKE HUCKABEE ,6
5,69,President,,REP,MITT ROMNEY ,2
5,69,President,,REP,JOHN MCCAIN ,6
5,69,President,,REP,RON PAUL ,2
5,69,President,,REP,RUDY GIULIANI ,0
5,69,President,,REP,Total,16
5,70,President,,DEM,BILL RICHARDSON ,1
5,70,President,,DEM,JOHN EDWARDS ,3
5,70,President,,DEM,DENNIS J. KUCINICH ,1
5,70,President,,DEM,HILLARY CLINTON ,115
5,70,President,,DEM,BARACK OBAMA ,580
5,70,President,,DEM,UNCOMMITTED ,4
5,70,President,,DEM,Write-ins,1
5,70,President,,DEM,Total,705
5,70,President,,REP,MIKE HUCKABEE ,2
5,70,President,,REP,MITT ROMNEY ,1
5,70,President,,REP,JOHN MCCAIN ,8
5,70,President,,REP,RON PAUL ,0
5,70,President,,REP,RUDY GIULIANI ,0
5,70,President,,REP,Total,11
5,71,President,,DEM,BILL RICHARDSON ,1
5,71,President,,DEM,JOHN EDWARDS ,2
5,71,President,,DEM,DENNIS J. KUCINICH ,1
5,71,President,,DEM,HILLARY CLINTON ,149
5,71,President,,DEM,BARACK OBAMA ,777
5,71,President,,DEM,UNCOMMITTED ,3
5,71,President,,DEM,Write-ins,3
5,71,President,,DEM,Total,936
5,71,President,,REP,MIKE HUCKABEE ,3
5,71,President,,REP,MITT ROMNEY ,1
5,71,President,,REP,JOHN MCCAIN ,5
5,71,President,,REP,RON PAUL ,1
5,71,President,,REP,RUDY GIULIANI ,0
5,71,President,,REP,Total,10
5,72,President,,DEM,BILL RICHARDSON ,0
5,72,President,,DEM,JOHN EDWARDS ,0
5,72,President,,DEM,DENNIS J. KUCINICH ,2
5,72,President,,DEM,HILLARY CLINTON ,167
5,72,President,,DEM,BARACK OBAMA ,1034
5,72,President,,DEM,UNCOMMITTED ,6
5,72,President,,DEM,Write-ins,1
5,72,President,,DEM,Total,1210
5,72,President,,REP,MIKE HUCKABEE ,4
5,72,President,,REP,MITT ROMNEY ,0
5,72,President,,REP,JOHN MCCAIN ,3
5,72,President,,REP,RON PAUL ,1
5,72,President,,REP,RUDY GIULIANI ,0
5,72,President,,REP,Total,8
5,73,President,,DEM,BILL RICHARDSON ,4
5,73,President,,DEM,JOHN EDWARDS ,2
5,73,President,,DEM,DENNIS J. KUCINICH ,4
5,73,President,,DEM,HILLARY CLINTON ,171
5,73,President,,DEM,BARACK OBAMA ,652
5,73,President,,DEM,UNCOMMITTED ,3
5,73,President,,DEM,Write-ins,0
5,73,President,,DEM,Total,836
5,73,President,,REP,MIKE HUCKABEE ,6
5,73,President,,REP,MITT ROMNEY ,1
5,73,President,,REP,JOHN MCCAIN ,8
5,73,President,,REP,RON PAUL ,3
5,73,President,,REP,RUDY GIULIANI ,0
5,73,President,,REP,Total,18
5,74,President,,DEM,BILL RICHARDSON ,2
5,74,President,,DEM,JOHN EDWARDS ,1
5,74,President,,DEM,DENNIS J. KUCINICH ,6
5,74,President,,DEM,HILLARY CLINTON ,171
5,74,President,,DEM,BARACK OBAMA ,959
5,74,President,,DEM,UNCOMMITTED ,5
5,74,President,,DEM,Write-ins,0
5,74,President,,DEM,Total,1144
5,74,President,,REP,MIKE HUCKABEE ,10
5,74,President,,REP,MITT ROMNEY ,0
5,74,President,,REP,JOHN MCCAIN ,18
5,74,President,,REP,RON PAUL ,3
5,74,President,,REP,RUDY GIULIANI ,0
5,74,President,,REP,Total,31
5,75,President,,DEM,BILL RICHARDSON ,1
5,75,President,,DEM,JOHN EDWARDS ,2
5,75,President,,DEM,DENNIS J. KUCINICH ,4
5,75,President,,DEM,HILLARY CLINTON ,136
5,75,President,,DEM,BARACK OBAMA ,713
5,75,President,,DEM,UNCOMMITTED ,3
5,75,President,,DEM,Write-ins,0
5,75,President,,DEM,Total,859
5,75,President,,REP,MIKE HUCKABEE ,0
5,75,President,,REP,MITT ROMNEY ,0
5,75,President,,REP,JOHN MCCAIN ,4
5,75,President,,REP,RON PAUL ,1
5,75,President,,REP,RUDY GIULIANI ,0
5,75,President,,REP,Total,5
5,76,President,,DEM,BILL RICHARDSON ,0
5,76,President,,DEM,JOHN EDWARDS ,0
5,76,President,,DEM,DENNIS J. KUCINICH ,0
5,76,President,,DEM,HILLARY CLINTON ,43
5,76,President,,DEM,BARACK OBAMA ,158
5,76,President,,DEM,UNCOMMITTED ,1
5,76,President,,DEM,Write-ins,0
5,76,President,,DEM,Total,202
5,76,President,,REP,MIKE HUCKABEE ,3
5,76,President,,REP,MITT ROMNEY ,1
5,76,President,,REP,JOHN MCCAIN ,4
5,76,President,,REP,RON PAUL ,0
5,76,President,,REP,RUDY GIULIANI ,0
5,76,President,,REP,Total,8
5,77,President,,DEM,BILL RICHARDSON ,0
5,77,President,,DEM,JOHN EDWARDS ,4
5,77,President,,DEM,DENNIS J. KUCINICH ,0
5,77,President,,DEM,HILLARY CLINTON ,135
5,77,President,,DEM,BARACK OBAMA ,690
5,77,President,,DEM,UNCOMMITTED ,1
5,77,President,,DEM,Write-ins,1
5,77,President,,DEM,Total,831
5,77,President,,REP,MIKE HUCKABEE ,4
5,77,President,,REP,MITT ROMNEY ,1
5,77,President,,REP,JOHN MCCAIN ,5
5,77,President,,REP,RON PAUL ,4
5,77,President,,REP,RUDY GIULIANI ,0
5,77,President,,REP,Total,14
5,78,President,,DEM,BILL RICHARDSON ,0
5,78,President,,DEM,JOHN EDWARDS ,0
5,78,President,,DEM,DENNIS J. KUCINICH ,0
5,78,President,,DEM,HILLARY CLINTON ,158
5,78,President,,DEM,BARACK OBAMA ,612
5,78,President,,DEM,UNCOMMITTED ,1
5,78,President,,DEM,Write-ins,1
5,78,President,,DEM,Total,772
5,78,President,,REP,MIKE HUCKABEE ,0
5,78,President,,REP,MITT ROMNEY ,0
5,78,President,,REP,JOHN MCCAIN ,1
5,78,President,,REP,RON PAUL ,2
5,78,President,,REP,RUDY GIULIANI ,1
5,78,President,,REP,Total,4
5,79,President,,DEM,BILL RICHARDSON ,0
5,79,President,,DEM,JOHN EDWARDS ,0
5,79,President,,DEM,DENNIS J. KUCINICH ,0
5,79,President,,DEM,HILLARY CLINTON ,74
5,79,President,,DEM,BARACK OBAMA ,334
5,79,President,,DEM,UNCOMMITTED ,1
5,79,President,,DEM,Write-ins,0
5,79,President,,DEM,Total,409
5,79,President,,REP,MIKE HUCKABEE ,1
5,79,President,,REP,MITT ROMNEY ,0
5,79,President,,REP,JOHN MCCAIN ,1
5,79,President,,REP,RON PAUL ,0
5,79,President,,REP,RUDY GIULIANI ,0
5,79,President,,REP,Total,2
7,80,President,,DEM,BILL RICHARDSON ,0
7,80,President,,DEM,JOHN EDWARDS ,1
7,80,President,,DEM,DENNIS J. KUCINICH ,1
7,80,President,,DEM,HILLARY CLINTON ,88
7,80,President,,DEM,BARACK OBAMA ,413
7,80,President,,DEM,UNCOMMITTED ,2
7,80,President,,DEM,Write-ins,2
7,80,President,,DEM,Total,507
7,80,President,,REP,MIKE HUCKABEE ,3
7,80,President,,REP,MITT ROMNEY ,0
7,80,President,,REP,JOHN MCCAIN ,4
7,80,President,,REP,RON PAUL ,0
7,80,President,,REP,RUDY GIULIANI ,0
7,80,President,,REP,Total,7
6,81,President,,DEM,BILL RICHARDSON ,0
6,81,President,,DEM,JOHN EDWARDS ,3
6,81,President,,DEM,DENNIS J. KUCINICH ,1
6,81,President,,DEM,HILLARY CLINTON ,269
6,81,President,,DEM,BARACK OBAMA ,1197
6,81,President,,DEM,UNCOMMITTED ,5
6,81,President,,DEM,Write-ins,0
6,81,President,,DEM,Total,1475
6,81,President,,REP,MIKE HUCKABEE ,14
6,81,President,,REP,MITT ROMNEY ,6
6,81,President,,REP,JOHN MCCAIN ,35
6,81,President,,REP,RON PAUL ,6
6,81,President,,REP,RUDY GIULIANI ,2
6,81,President,,REP,Total,63
6,82,President,,DEM,BILL RICHARDSON ,0
6,82,President,,DEM,JOHN EDWARDS ,2
6,82,President,,DEM,DENNIS J. KUCINICH ,0
6,82,President,,DEM,HILLARY CLINTON ,222
6,82,President,,DEM,BARACK OBAMA ,725
6,82,President,,DEM,UNCOMMITTED ,1
6,82,President,,DEM,Write-ins,0
6,82,President,,DEM,Total,950
6,82,President,,REP,MIKE HUCKABEE ,12
6,82,President,,REP,MITT ROMNEY ,2
6,82,President,,REP,JOHN MCCAIN ,34
6,82,President,,REP,RON PAUL ,6
6,82,President,,REP,RUDY GIULIANI ,1
6,82,President,,REP,Total,55
6,83,President,,DEM,BILL RICHARDSON ,0
6,83,President,,DEM,JOHN EDWARDS ,1
6,83,President,,DEM,DENNIS J. KUCINICH ,1
6,83,President,,DEM,HILLARY CLINTON ,217
6,83,President,,DEM,BARACK OBAMA ,793
6,83,President,,DEM,UNCOMMITTED ,3
6,83,President,,DEM,Write-ins,0
6,83,President,,DEM,Total,1015
6,83,President,,REP,MIKE HUCKABEE ,12
6,83,President,,REP,MITT ROMNEY ,2
6,83,President,,REP,JOHN MCCAIN ,24
6,83,President,,REP,RON PAUL ,5
6,83,President,,REP,RUDY GIULIANI ,0
6,83,President,,REP,Total,43
6,84,President,,DEM,BILL RICHARDSON ,3
6,84,President,,DEM,JOHN EDWARDS ,3
6,84,President,,DEM,DENNIS J. KUCINICH ,1
6,84,President,,DEM,HILLARY CLINTON ,283
6,84,President,,DEM,BARACK OBAMA ,621
6,84,President,,DEM,UNCOMMITTED ,3
6,84,President,,DEM,Write-ins,0
6,84,President,,DEM,Total,914
6,84,President,,REP,MIKE HUCKABEE ,27
6,84,President,,REP,MITT ROMNEY ,5
6,84,President,,REP,JOHN MCCAIN ,79
6,84,President,,REP,RON PAUL ,6
6,84,President,,REP,RUDY GIULIANI ,3
6,84,President,,REP,Total,120
6,85,President,,DEM,BILL RICHARDSON ,1
6,85,President,,DEM,JOHN EDWARDS ,7
6,85,President,,DEM,DENNIS J. KUCINICH ,1
6,85,President,,DEM,HILLARY CLINTON ,399
6,85,President,,DEM,BARACK OBAMA ,786
6,85,President,,DEM,UNCOMMITTED ,4
6,85,President,,DEM,Write-ins,3
6,85,President,,DEM,Total,1201
6,85,President,,REP,MIKE HUCKABEE ,24
6,85,President,,REP,MITT ROMNEY ,19
6,85,President,,REP,JOHN MCCAIN ,113
6,85,President,,REP,RON PAUL ,18
6,85,President,,REP,RUDY GIULIANI ,1
6,85,President,,REP,Total,175
6,86,President,,DEM,BILL RICHARDSON ,1
6,86,President,,DEM,JOHN EDWARDS ,2
6,86,President,,DEM,DENNIS J. KUCINICH ,0
6,86,President,,DEM,HILLARY CLINTON ,249
6,86,President,,DEM,BARACK OBAMA ,593
6,86,President,,DEM,UNCOMMITTED ,1
6,86,President,,DEM,Write-ins,2
6,86,President,,DEM,Total,848
6,86,President,,REP,MIKE HUCKABEE ,9
6,86,President,,REP,MITT ROMNEY ,4
6,86,President,,REP,JOHN MCCAIN ,43
6,86,President,,REP,RON PAUL ,7
6,86,President,,REP,RUDY GIULIANI ,3
6,86,President,,REP,Total,66
6,87,President,,DEM,BILL RICHARDSON ,1
6,87,President,,DEM,JOHN EDWARDS ,2
6,87,President,,DEM,DENNIS J. KUCINICH ,1
6,87,President,,DEM,HILLARY CLINTON ,192
6,87,President,,DEM,BARACK OBAMA ,784
6,87,President,,DEM,UNCOMMITTED ,1
6,87,President,,DEM,Write-ins,2
6,87,President,,DEM,Total,983
6,87,President,,REP,MIKE HUCKABEE ,12
6,87,President,,REP,MITT ROMNEY ,3
6,87,President,,REP,JOHN MCCAIN ,21
6,87,President,,REP,RON PAUL ,7
6,87,President,,REP,RUDY GIULIANI ,4
6,87,President,,REP,Total,47
6,88,President,,DEM,BILL RICHARDSON ,2
6,88,President,,DEM,JOHN EDWARDS ,10
6,88,President,,DEM,DENNIS J. KUCINICH ,2
6,88,President,,DEM,HILLARY CLINTON ,328
6,88,President,,DEM,BARACK OBAMA ,669
6,88,President,,DEM,UNCOMMITTED ,3
6,88,President,,DEM,Write-ins,1
6,88,President,,DEM,Total,1015
6,88,President,,REP,MIKE HUCKABEE ,19
6,88,President,,REP,MITT ROMNEY ,5
6,88,President,,REP,JOHN MCCAIN ,70
6,88,President,,REP,RON PAUL ,11
6,88,President,,REP,RUDY GIULIANI ,3
6,88,President,,REP,Total,108
6,89,President,,DEM,BILL RICHARDSON ,1
6,89,President,,DEM,JOHN EDWARDS ,11
