Precinct 1,"",""
Registration & Turnout ,"","3,373"
DAVID A. JORDAN ,23 ,1.14%
LAURA McGIFFERT SLOVER ,382 ,18.96%
VICTOR REINOSO ,753 ,37.37%
MAI ABDUL RAHMAN ,272 ,13.50%
"Write In, if any ",10 ,0.50%
Total... ,"2,015 ",100.00%
Precinct 33,"",""
Registration & Turnout ,"","3,693"
Election Day Turnout ,2218 ,60.06%
Absentee Turnout ,388 ,10.51%
Total... ,"2,606 ",70.57%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2164 ,83.29%
SGN - COBB/LaMARCHE ,11 ,0.42%
LIB - BADNARIK/CAMPAGNA ,8 ,0.31%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,382 ,14.70%
IND - NADER/CAMEJO ,24 ,0.92%
"Write In, if any ",8 ,0.31%
Total... ,"2,598 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2152 ,86.29%
REP - MICHAEL ANDREW MONROE ,328 ,13.15%
"Write In, if any ",14 ,0.56%
Total... ,"2,494 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1541 ,40.95%
SGN - LAURENT ROSS ,310 ,8.24%
DEM - KWAME R. BROWN ,1677 ,44.57%
IND - A.D. ''TONY'' DOMINGUEZ ,211 ,5.61%
"Write In, if any ",24 ,0.64%
Total... ,"3,763 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1576 ,78.80%
SGN - ADAM EIDINGER ,399 ,19.95%
"Write In, if any ",25 ,1.25%
Total... ,"2,000 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,53 ,2.38%
HUGH ALLEN ,518 ,23.30%
TOM DAWSON ,49 ,2.20%
DAVID A. JORDAN ,18 ,0.81%
LAURA McGIFFERT SLOVER ,558 ,25.10%
VICTOR REINOSO ,880 ,39.59%
MAI ABDUL RAHMAN ,139 ,6.25%
"Write In, if any ",8 ,0.36%
Total... ,"2,223 ",100.00%
Precinct 34,"",""
Registration & Turnout ,"","4,734"
Election Day Turnout ,2812 ,59.40%
Absentee Turnout ,637 ,13.46%
Total... ,"3,449 ",72.86%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2829 ,82.50%
SGN - COBB/LaMARCHE ,6 ,0.17%
LIB - BADNARIK/CAMPAGNA ,20 ,0.58%
SWP - HARRIS/TROWE ,1 ,0.03%
REP - BUSH/CHENEY ,533 ,15.54%
IND - NADER/CAMEJO ,29 ,0.85%
"Write In, if any ",11 ,0.32%
Total... ,"3,429 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2818 ,85.24%
REP - MICHAEL ANDREW MONROE ,472 ,14.28%
"Write In, if any ",16 ,0.48%
Total... ,"3,306 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,2011 ,39.82%
SGN - LAURENT ROSS ,417 ,8.26%
DEM - KWAME R. BROWN ,2185 ,43.27%
IND - A.D. ''TONY'' DOMINGUEZ ,405 ,8.02%
"Write In, if any ",32 ,0.63%
Total... ,"5,050 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2194 ,80.22%
SGN - ADAM EIDINGER ,513 ,18.76%
"Write In, if any ",28 ,1.02%
Total... ,"2,735 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,118 ,4.40%
HUGH ALLEN ,408 ,15.22%
TOM DAWSON ,106 ,3.95%
DAVID A. JORDAN ,55 ,2.05%
LAURA McGIFFERT SLOVER ,635 ,23.69%
VICTOR REINOSO ,1097 ,40.92%
MAI ABDUL RAHMAN ,250 ,9.32%
"Write In, if any ",12 ,0.45%
Total... ,"2,681 ",100.00%
Precinct 35,"",""
Registration & Turnout ,"","4,070"
Election Day Turnout ,2330 ,57.25%
Absentee Turnout ,509 ,12.51%
Total... ,"2,839 ",69.75%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2580 ,91.52%
SGN - COBB/LaMARCHE ,22 ,0.78%
LIB - BADNARIK/CAMPAGNA ,11 ,0.39%
SWP - HARRIS/TROWE ,3 ,0.11%
REP - BUSH/CHENEY ,165 ,5.85%
IND - NADER/CAMEJO ,35 ,1.24%
"Write In, if any ",3 ,0.11%
Total... ,"2,819 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2546 ,93.02%
REP - MICHAEL ANDREW MONROE ,180 ,6.58%
"Write In, if any ",11 ,0.40%
Total... ,"2,737 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1072 ,27.63%
SGN - LAURENT ROSS ,536 ,13.81%
DEM - KWAME R. BROWN ,2002 ,51.60%
IND - A.D. ''TONY'' DOMINGUEZ ,242 ,6.24%
"Write In, if any ",28 ,0.72%
Total... ,"3,880 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1683 ,68.61%
SGN - ADAM EIDINGER ,749 ,30.53%
"Write In, if any ",21 ,0.86%
Total... ,"2,453 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,953 ,41.98%
ELEANOR JOHNSON ,381 ,16.78%
CHRISTOPHER McKEON ,145 ,6.39%
KEENAN KELLER ,765 ,33.70%
"Write In, if any ",26 ,1.15%
Total... ,"2,270 ",100.00%
Precinct 36,"",""
Registration & Turnout ,"","3,968"
Election Day Turnout ,1891 ,47.66%
Absentee Turnout ,256 ,6.45%
Total... ,"2,147 ",54.11%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1935 ,91.84%
SGN - COBB/LaMARCHE ,14 ,0.66%
LIB - BADNARIK/CAMPAGNA ,4 ,0.19%
SWP - HARRIS/TROWE ,1 ,0.05%
REP - BUSH/CHENEY ,135 ,6.41%
IND - NADER/CAMEJO ,15 ,0.71%
"Write In, if any ",3 ,0.14%
Total... ,"2,107 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1903 ,93.56%
REP - MICHAEL ANDREW MONROE ,125 ,6.15%
"Write In, if any ",6 ,0.29%
Total... ,"2,034 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,612 ,22.62%
SGN - LAURENT ROSS ,269 ,9.94%
DEM - KWAME R. BROWN ,1609 ,59.46%
IND - A.D. ''TONY'' DOMINGUEZ ,185 ,6.84%
"Write In, if any ",31 ,1.15%
Total... ,"2,706 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1534 ,82.43%
SGN - ADAM EIDINGER ,316 ,16.98%
"Write In, if any ",11 ,0.59%
Total... ,"1,861 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,760 ,43.65%
ELEANOR JOHNSON ,486 ,27.91%
CHRISTOPHER McKEON ,136 ,7.81%
KEENAN KELLER ,341 ,19.59%
"Write In, if any ",18 ,1.03%
Total... ,"1,741 ",100.00%
Precinct 37,"",""
Registration & Turnout ,"","3,559"
Election Day Turnout ,1409 ,39.59%
Absentee Turnout ,287 ,8.06%
Total... ,"1,696 ",47.65%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1587 ,95.09%
SGN - COBB/LaMARCHE ,1 ,0.06%
LIB - BADNARIK/CAMPAGNA ,2 ,0.12%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,64 ,3.83%
IND - NADER/CAMEJO ,11 ,0.66%
"Write In, if any ",3 ,0.18%
Total... ,"1,669 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1566 ,96.13%
REP - MICHAEL ANDREW MONROE ,52 ,3.19%
"Write In, if any ",11 ,0.68%
Total... ,"1,629 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,516 ,23.39%
SGN - LAURENT ROSS ,143 ,6.48%
DEM - KWAME R. BROWN ,1410 ,63.92%
IND - A.D. ''TONY'' DOMINGUEZ ,119 ,5.39%
"Write In, if any ",18 ,0.82%
Total... ,"2,206 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1388 ,90.48%
SGN - ADAM EIDINGER ,139 ,9.06%
"Write In, if any ",7 ,0.46%
Total... ,"1,534 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,909 ,61.25%
ELEANOR JOHNSON ,339 ,22.84%
CHRISTOPHER McKEON ,53 ,3.57%
KEENAN KELLER ,174 ,11.73%
"Write In, if any ",9 ,0.61%
Total... ,"1,484 ",100.00%
Precinct 38,"",""
Registration & Turnout ,"","2,690"
Election Day Turnout ,1200 ,44.61%
Absentee Turnout ,183 ,6.80%
Total... ,"1,383 ",51.41%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1278 ,93.56%
SGN - COBB/LaMARCHE ,8 ,0.59%
LIB - BADNARIK/CAMPAGNA ,3 ,0.22%
SWP - HARRIS/TROWE ,2 ,0.15%
REP - BUSH/CHENEY ,68 ,4.98%
IND - NADER/CAMEJO ,7 ,0.51%
"Write In, if any ",0 ,0.00%
Total... ,"1,366 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1268 ,95.84%
REP - MICHAEL ANDREW MONROE ,52 ,3.93%
"Write In, if any ",3 ,0.23%
Total... ,"1,323 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,407 ,24.13%
SGN - LAURENT ROSS ,147 ,8.71%
DEM - KWAME R. BROWN ,1038 ,61.53%
IND - A.D. ''TONY'' DOMINGUEZ ,85 ,5.04%
"Write In, if any ",10 ,0.59%
Total... ,"1,687 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1067 ,88.69%
SGN - ADAM EIDINGER ,131 ,10.89%
"Write In, if any ",5 ,0.42%
Total... ,"1,203 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,706 ,58.59%
ELEANOR JOHNSON ,227 ,18.84%
CHRISTOPHER McKEON ,57 ,4.73%
KEENAN KELLER ,206 ,17.10%
"Write In, if any ",9 ,0.75%
Total... ,"1,205 ",100.00%
Precinct 39,"",""
Registration & Turnout ,"","3,917"
Election Day Turnout ,1924 ,49.12%
Absentee Turnout ,345 ,8.81%
Total... ,"2,269 ",57.93%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2017 ,90.29%
SGN - COBB/LaMARCHE ,28 ,1.25%
LIB - BADNARIK/CAMPAGNA ,5 ,0.22%
SWP - HARRIS/TROWE ,1 ,0.04%
REP - BUSH/CHENEY ,152 ,6.80%
IND - NADER/CAMEJO ,26 ,1.16%
"Write In, if any ",5 ,0.22%
Total... ,"2,234 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2000 ,92.04%
REP - MICHAEL ANDREW MONROE ,157 ,7.23%
"Write In, if any ",16 ,0.74%
Total... ,"2,173 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,875 ,27.17%
SGN - LAURENT ROSS ,509 ,15.80%
DEM - KWAME R. BROWN ,1625 ,50.45%
IND - A.D. ''TONY'' DOMINGUEZ ,182 ,5.65%
"Write In, if any ",28 ,0.87%
Total... ,"3,219 ",99.94%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1377 ,70.18%
SGN - ADAM EIDINGER ,570 ,29.05%
"Write In, if any ",15 ,0.76%
Total... ,"1,962 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,963 ,50.71%
ELEANOR JOHNSON ,246 ,12.95%
CHRISTOPHER McKEON ,83 ,4.37%
KEENAN KELLER ,594 ,31.28%
"Write In, if any ",13 ,0.68%
Total... ,"1,899 ",100.00%
Precinct 40,"",""
Registration & Turnout ,"","4,092"
Election Day Turnout ,2164 ,52.88%
Absentee Turnout ,380 ,9.29%
Total... ,"2,544 ",62.17%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2259 ,89.29%
SGN - COBB/LaMARCHE ,34 ,1.34%
LIB - BADNARIK/CAMPAGNA ,12 ,0.47%
SWP - HARRIS/TROWE ,8 ,0.32%
REP - BUSH/CHENEY ,180 ,7.11%
IND - NADER/CAMEJO ,28 ,1.11%
"Write In, if any ",9 ,0.36%
Total... ,"2,530 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2273 ,92.36%
REP - MICHAEL ANDREW MONROE ,176 ,7.15%
"Write In, if any ",12 ,0.49%
Total... ,"2,461 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,956 ,27.06%
SGN - LAURENT ROSS ,501 ,14.18%
DEM - KWAME R. BROWN ,1821 ,51.54%
IND - A.D. ''TONY'' DOMINGUEZ ,226 ,6.40%
"Write In, if any ",29 ,0.82%
Total... ,"3,533 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1527 ,69.82%
SGN - ADAM EIDINGER ,640 ,29.26%
"Write In, if any ",20 ,0.91%
Total... ,"2,187 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,930 ,42.49%
ELEANOR JOHNSON ,263 ,12.01%
CHRISTOPHER McKEON ,100 ,4.57%
KEENAN KELLER ,877 ,40.06%
"Write In, if any ",19 ,0.87%
Total... ,"2,189 ",100.00%
Precinct 41,"",""
Registration & Turnout ,"","3,193"
Election Day Turnout ,1372 ,42.97%
Absentee Turnout ,167 ,5.23%
Total... ,"1,539 ",48.20%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1390 ,90.91%
SGN - COBB/LaMARCHE ,13 ,0.85%
LIB - BADNARIK/CAMPAGNA ,1 ,0.07%
SWP - HARRIS/TROWE ,4 ,0.26%
REP - BUSH/CHENEY ,102 ,6.67%
IND - NADER/CAMEJO ,15 ,0.98%
"Write In, if any ",4 ,0.26%
Total... ,"1,529 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1398 ,95.23%
REP - MICHAEL ANDREW MONROE ,61 ,4.16%
"Write In, if any ",9 ,0.61%
Total... ,"1,468 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,459 ,23.50%
SGN - LAURENT ROSS ,206 ,10.55%
DEM - KWAME R. BROWN ,1156 ,59.19%
IND - A.D. ''TONY'' DOMINGUEZ ,119 ,6.09%
"Write In, if any ",13 ,0.67%
Total... ,"1,953 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1111 ,82.85%
SGN - ADAM EIDINGER ,220 ,16.41%
"Write In, if any ",10 ,0.75%
Total... ,"1,341 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,568 ,43.39%
ELEANOR JOHNSON ,296 ,22.61%
CHRISTOPHER McKEON ,76 ,5.81%
KEENAN KELLER ,356 ,27.20%
"Write In, if any ",13 ,0.99%
Total... ,"1,309 ",100.00%
Precinct 42,"",""
Registration & Turnout ,"","1,749"
Election Day Turnout ,796 ,45.51%
Absentee Turnout ,81 ,4.63%
Total... ,877 ,50.14%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,805 ,93.39%
SGN - COBB/LaMARCHE ,6 ,0.70%
LIB - BADNARIK/CAMPAGNA ,3 ,0.35%
SWP - HARRIS/TROWE ,1 ,0.12%
REP - BUSH/CHENEY ,35 ,4.06%
IND - NADER/CAMEJO ,9 ,1.04%
"Write In, if any ",3 ,0.35%
Total... ,862 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,789 ,94.95%
REP - MICHAEL ANDREW MONROE ,40 ,4.81%
"Write In, if any ",2 ,0.24%
Total... ,831 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,273 ,24.89%
SGN - LAURENT ROSS ,103 ,9.39%
DEM - KWAME R. BROWN ,649 ,59.16%
IND - A.D. ''TONY'' DOMINGUEZ ,62 ,5.65%
"Write In, if any ",10 ,0.91%
Total... ,"1,097 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,625 ,82.56%
SGN - ADAM EIDINGER ,127 ,16.78%
"Write In, if any ",5 ,0.66%
Total... ,757 ,100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,225 ,31.73%
ELEANOR JOHNSON ,214 ,30.18%
CHRISTOPHER McKEON ,43 ,6.06%
KEENAN KELLER ,218 ,30.75%
"Write In, if any ",9 ,1.27%
Total... ,709 ,100.00%
Precinct 43,"",""
Registration & Turnout ,"","1,517"
Election Day Turnout ,765 ,50.43%
Absentee Turnout ,76 ,5.01%
Total... ,841 ,55.44%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,770 ,93.00%
SGN - COBB/LaMARCHE ,8 ,0.97%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,44 ,5.31%
IND - NADER/CAMEJO ,5 ,0.60%
"Write In, if any ",1 ,0.12%
Total... ,828 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,777 ,95.69%
REP - MICHAEL ANDREW MONROE ,33 ,4.06%
"Write In, if any ",2 ,0.25%
Total... ,812 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,297 ,26.01%
SGN - LAURENT ROSS ,91 ,7.97%
DEM - KWAME R. BROWN ,685 ,59.98%
IND - A.D. ''TONY'' DOMINGUEZ ,66 ,5.78%
"Write In, if any ",3 ,0.26%
Total... ,"1,142 ",100.00%
Precinct 45,"",""
Registration & Turnout ,"","2,411"
Election Day Turnout ,1168 ,48.44%
Absentee Turnout ,99 ,4.11%
Total... ,"1,267 ",52.55%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1172 ,94.98%
SGN - COBB/LaMARCHE ,7 ,0.57%
LIB - BADNARIK/CAMPAGNA ,2 ,0.16%
SWP - HARRIS/TROWE ,3 ,0.24%
REP - BUSH/CHENEY ,42 ,3.40%
IND - NADER/CAMEJO ,5 ,0.41%
"Write In, if any ",3 ,0.24%
Total... ,"1,234 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1194 ,97.31%
REP - MICHAEL ANDREW MONROE ,31 ,2.53%
"Write In, if any ",2 ,0.16%
Total... ,"1,227 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,383 ,24.44%
SGN - LAURENT ROSS ,118 ,7.53%
DEM - KWAME R. BROWN ,980 ,62.54%
IND - A.D. ''TONY'' DOMINGUEZ ,81 ,5.17%
"Write In, if any ",5 ,0.32%
Total... ,"1,567 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1157 ,98.97%
"Write In, if any ",12 ,1.03%
Total... ,"1,169 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1005 ,89.25%
SGN - ADAM EIDINGER ,116 ,10.30%
"Write In, if any ",5 ,0.44%
Total... ,"1,126 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,542 ,47.84%
HUGH ALLEN ,193 ,17.03%
TOM DAWSON ,50 ,4.41%
DAVID A. JORDAN ,32 ,2.82%
LAURA McGIFFERT SLOVER ,52 ,4.59%
VICTOR REINOSO ,189 ,16.68%
MAI ABDUL RAHMAN ,73 ,6.44%
"Write In, if any ",2 ,0.18%
Total... ,"1,133 ",100.00%
Precinct 46,"",""
Registration & Turnout ,"","3,287"
Election Day Turnout ,1606 ,48.86%
Absentee Turnout ,94 ,2.86%
Total... ,"1,700 ",51.72%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1596 ,95.68%
SGN - COBB/LaMARCHE ,7 ,0.42%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,2 ,0.12%
REP - BUSH/CHENEY ,56 ,3.36%
IND - NADER/CAMEJO ,4 ,0.24%
"Write In, if any ",3 ,0.18%
Total... ,"1,668 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1593 ,97.25%
REP - MICHAEL ANDREW MONROE ,42 ,2.56%
"Write In, if any ",3 ,0.18%
Total... ,"1,638 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,530 ,25.30%
SGN - LAURENT ROSS ,116 ,5.54%
DEM - KWAME R. BROWN ,1354 ,64.63%
IND - A.D. ''TONY'' DOMINGUEZ ,90 ,4.30%
"Write In, if any ",5 ,0.24%
Total... ,"2,095 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1563 ,98.86%
"Write In, if any ",18 ,1.14%
Total... ,"1,581 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1417 ,93.10%
SGN - ADAM EIDINGER ,100 ,6.57%
"Write In, if any ",5 ,0.33%
Total... ,"1,522 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,874 ,55.99%
HUGH ALLEN ,149 ,9.55%
TOM DAWSON ,86 ,5.51%
DAVID A. JORDAN ,34 ,2.18%
LAURA McGIFFERT SLOVER ,50 ,3.20%
VICTOR REINOSO ,247 ,15.82%
MAI ABDUL RAHMAN ,116 ,7.43%
"Write In, if any ",5 ,0.32%
Total... ,"1,561 ",100.00%
Precinct 47,"",""
Registration & Turnout ,"","2,962"
Election Day Turnout ,1538 ,51.92%
Absentee Turnout ,132 ,4.46%
Total... ,"1,670 ",56.38%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1534 ,92.86%
SGN - COBB/LaMARCHE ,6 ,0.36%
LIB - BADNARIK/CAMPAGNA ,3 ,0.18%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,94 ,5.69%
IND - NADER/CAMEJO ,10 ,0.61%
"Write In, if any ",4 ,0.24%
Total... ,"1,652 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1537 ,95.76%
REP - MICHAEL ANDREW MONROE ,63 ,3.93%
"Write In, if any ",5 ,0.31%
Total... ,"1,605 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,626 ,28.30%
SGN - LAURENT ROSS ,152 ,6.87%
DEM - KWAME R. BROWN ,1300 ,58.77%
IND - A.D. ''TONY'' DOMINGUEZ ,124 ,5.61%
"Write In, if any ",10 ,0.45%
Total... ,"2,212 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1530 ,98.84%
"Write In, if any ",18 ,1.16%
Total... ,"1,548 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1266 ,87.67%
SGN - ADAM EIDINGER ,164 ,11.36%
"Write In, if any ",14 ,0.97%
Total... ,"1,444 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,593 ,40.18%
HUGH ALLEN ,141 ,9.55%
TOM DAWSON ,110 ,7.45%
DAVID A. JORDAN ,36 ,2.44%
LAURA McGIFFERT SLOVER ,107 ,7.25%
VICTOR REINOSO ,384 ,26.02%
MAI ABDUL RAHMAN ,98 ,6.64%
"Write In, if any ",7 ,0.47%
Total... ,"1,476 ",100.00%
Precinct 48,"",""
Registration & Turnout ,"","3,168"
Election Day Turnout ,1683 ,53.13%
Absentee Turnout ,165 ,5.21%
Total... ,"1,848 ",58.33%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1710 ,93.90%
SGN - COBB/LaMARCHE ,3 ,0.16%
LIB - BADNARIK/CAMPAGNA ,2 ,0.11%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,89 ,4.89%
IND - NADER/CAMEJO ,12 ,0.66%
"Write In, if any ",5 ,0.27%
Total... ,"1,821 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1678 ,95.02%
REP - MICHAEL ANDREW MONROE ,81 ,4.59%
"Write In, if any ",7 ,0.40%
Total... ,"1,766 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,777 ,30.03%
SGN - LAURENT ROSS ,179 ,6.92%
DEM - KWAME R. BROWN ,1422 ,54.97%
IND - A.D. ''TONY'' DOMINGUEZ ,196 ,7.58%
"Write In, if any ",13 ,0.50%
Total... ,"2,587 ",100.00%
WARD FOUR MEMBER OF THE COUNCIL ,"",(Final)
DEM - ADRIAN FENTY ,1676 ,98.70%
"Write In, if any ",22 ,1.30%
Total... ,"1,698 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1359 ,87.06%
SGN - ADAM EIDINGER ,191 ,12.24%
"Write In, if any ",11 ,0.70%
Total... ,"1,561 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,575 ,34.79%
HUGH ALLEN ,101 ,6.11%
TOM DAWSON ,151 ,9.13%
DAVID A. JORDAN ,28 ,1.69%
LAURA McGIFFERT SLOVER ,181 ,10.95%
VICTOR REINOSO ,484 ,29.28%
MAI ABDUL RAHMAN ,126 ,7.62%
"Write In, if any ",7 ,0.42%
Total... ,"1,653 ",100.00%
Precinct 49,"",""
Registration & Turnout ,"",809
Election Day Turnout ,381 ,47.10%
Absentee Turnout ,28 ,3.46%
Total... ,409 ,50.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,374 ,93.03%
