office,party,candidate,votes
ANC FOR SMD 7E06,,Write In,37
ANC FOR SMD 7E07,,Under Votes,30
ANC FOR SMD 7E07,,Over Votes,0
ANC FOR SMD 7E07,,CHESTER SPEIGHT,147
ANC FOR SMD 7E07,,Write In,86
ANC FOR SMD 8A01,,Under Votes,89
ANC FOR SMD 8A01,,Over Votes,0
ANC FOR SMD 8A01,,ANTHONY MUHAMMAD,446
ANC FOR SMD 8A01,,Write In,29
ANC FOR SMD 8A02,,Under Votes,52
ANC FOR SMD 8A02,,Over Votes,0
ANC FOR SMD 8A02,,BARBARA J. CLARK,303
ANC FOR SMD 8A02,,Write In,5
ANC FOR SMD 8A03,,Under Votes,58
ANC FOR SMD 8A03,,Over Votes,0
ANC FOR SMD 8A03,,GRETA J. FULLER,167
ANC FOR SMD 8A03,,T'CHAKA M. SAPP,145
ANC FOR SMD 8A03,,Write In,6
ANC FOR SMD 8A04,,Under Votes,28
ANC FOR SMD 8A04,,Over Votes,0
ANC FOR SMD 8A04,,LaTESHA 'TE TE' HUDSON,204
ANC FOR SMD 8A04,,Write In,10
ANC FOR SMD 8A05,,Under Votes,215
ANC FOR SMD 8A05,,Over Votes,0
ANC FOR SMD 8A05,,Write In,60
ANC FOR SMD 8A06,,Under Votes,23
ANC FOR SMD 8A06,,Over Votes,0
ANC FOR SMD 8A06,,MARITA MICHAEL,69
ANC FOR SMD 8A06,,JACKIE WARD,167
ANC FOR SMD 8A06,,Write In,2
ANC FOR SMD 8A07,,Under Votes,26
ANC FOR SMD 8A07,,Over Votes,0
ANC FOR SMD 8A07,,LENDIA SUE JOHNSON,150
ANC FOR SMD 8A07,,Write In,7
ANC FOR SMD 8B01,,Under Votes,65
ANC FOR SMD 8B01,,Over Votes,0
ANC FOR SMD 8B01,,A. BRAXTON-JONES,334
ANC FOR SMD 8B01,,Write In,7
ANC FOR SMD 8B02,,Under Votes,64
ANC FOR SMD 8B02,,Over Votes,0
ANC FOR SMD 8B02,,DAVID S. BREWER,246
ANC FOR SMD 8B02,,Write In,5
ANC FOR SMD 8B03,,Under Votes,135
ANC FOR SMD 8B03,,Over Votes,0
ANC FOR SMD 8B03,,Write In,19
ANC FOR SMD 8B04,,Under Votes,24
ANC FOR SMD 8B04,,Over Votes,0
ANC FOR SMD 8B04,,CHARLES WILSON,305
ANC FOR SMD 8B04,,JAMIL 'JB' SHOATZ,96
ANC FOR SMD 8B04,,Write In,7
ANC FOR SMD 8B05,,Under Votes,24
ANC FOR SMD 8B05,,Over Votes,0
ANC FOR SMD 8B05,,TIJWANNA U. PHILLIPS,184
ANC FOR SMD 8B05,,Write In,31
ANC FOR SMD 8B06,,Under Votes,166
ANC FOR SMD 8B06,,Over Votes,0
ANC FOR SMD 8B06,,Write In,38
ANC FOR SMD 8B07,,Under Votes,219
ANC FOR SMD 8B07,,Over Votes,0
ANC FOR SMD 8B07,,Write In,46
ANC FOR SMD 8C01,,Under Votes,33
ANC FOR SMD 8C01,,Over Votes,0
ANC FOR SMD 8C01,,DOROTHEA FERRELL,167
ANC FOR SMD 8C01,,Write In,6
ANC FOR SMD 8C02,,Under Votes,212
ANC FOR SMD 8C02,,Over Votes,0
ANC FOR SMD 8C02,,Write In,39
ANC FOR SMD 8C03,,Under Votes,43
ANC FOR SMD 8C03,,Over Votes,0
ANC FOR SMD 8C03,,MARY J. CUTHBERT,235
ANC FOR SMD 8C03,,Write In,9
ANC FOR SMD 8C04,,Under Votes,39
ANC FOR SMD 8C04,,Over Votes,0
ANC FOR SMD 8C04,,R. CALVIN LOCKRIDGE,286
ANC FOR SMD 8C04,,Write In,21
ANC FOR SMD 8C05,,Under Votes,2
ANC FOR SMD 8C05,,Over Votes,0
ANC FOR SMD 8C05,,Write In,3
ANC FOR SMD 8C06,,Under Votes,3
ANC FOR SMD 8C06,,Over Votes,0
ANC FOR SMD 8C06,,Write In,0
ANC FOR SMD 8C07,,Under Votes,50
ANC FOR SMD 8C07,,Over Votes,0
ANC FOR SMD 8C07,,CARDELL SHELTON,255
ANC FOR SMD 8C07,,Write In,14
ANC FOR SMD 8D01,,Under Votes,15
ANC FOR SMD 8D01,,Over Votes,0
ANC FOR SMD 8D01,,GABY L. FRASER,52
ANC FOR SMD 8D01,,PATRICIA CARMON,157
ANC FOR SMD 8D01,,Write In,6
ANC FOR SMD 8D02,,Under Votes,19
ANC FOR SMD 8D02,,Over Votes,0
ANC FOR SMD 8D02,,OLIVIA L. HENDERSON,149
ANC FOR SMD 8D02,,O. V. JOHNSON,191
ANC FOR SMD 8D02,,Write In,11
ANC FOR SMD 8D03,,Under Votes,28
ANC FOR SMD 8D03,,Over Votes,0
ANC FOR SMD 8D03,,ABSALOM 'AB' JORDAN,131
ANC FOR SMD 8D03,,Write In,8
ANC FOR SMD 8D04,,Under Votes,270
ANC FOR SMD 8D04,,Over Votes,0
ANC FOR SMD 8D04,,Write In,43
ANC FOR SMD 8D05,,Under Votes,152
ANC FOR SMD 8D05,,Over Votes,0
ANC FOR SMD 8D05,,Write In,18
ANC FOR SMD 8D06,,Under Votes,28
ANC FOR SMD 8D06,,Over Votes,0
ANC FOR SMD 8D06,,MARIA POWELL,187
ANC FOR SMD 8D06,,Write In,10
ANC FOR SMD 8D07,,Under Votes,20
ANC FOR SMD 8D07,,Over Votes,0
ANC FOR SMD 8D07,,RICHARD T. 'DICK' CLARK,120
ANC FOR SMD 8D07,,THERESA H. JONES,164
ANC FOR SMD 8D07,,Write In,7
ANC FOR SMD 8E01,,Under Votes,74
ANC FOR SMD 8E01,,Over Votes,0
ANC FOR SMD 8E01,,Write In,2
ANC FOR SMD 8E02,,Under Votes,24
ANC FOR SMD 8E02,,Over Votes,0
ANC FOR SMD 8E02,,'S.S' SANDRA SEEGARS,157
ANC FOR SMD 8E02,,Write In,2
ANC FOR SMD 8E03,,Under Votes,31
ANC FOR SMD 8E03,,Over Votes,0
ANC FOR SMD 8E03,,CHRISTOPHER L. HAWTHORNE,117
ANC FOR SMD 8E03,,Write In,7
ANC FOR SMD 8E04,,Under Votes,65
ANC FOR SMD 8E04,,Over Votes,0
ANC FOR SMD 8E04,,MELVIN H. SIMS,369
ANC FOR SMD 8E04,,Write In,12
ANC FOR SMD 8E05,,Under Votes,53
ANC FOR SMD 8E05,,Over Votes,0
ANC FOR SMD 8E05,,"LEON J. SWAIN, JR.",309
ANC FOR SMD 8E05,,Write In,10
ANC FOR SMD 8E06,,Under Votes,173
ANC FOR SMD 8E06,,Over Votes,0
ANC FOR SMD 8E06,,Write In,20
ANC FOR SMD 8E07,,Under Votes,42
ANC FOR SMD 8E07,,Over Votes,0
ANC FOR SMD 8E07,,ALFRED J. PRICE,91
ANC FOR SMD 8E07,,SANDRA (SV) WILLIAMS,138
ANC FOR SMD 8E07,,Write In,9
