ward,office,district,party,candidate,votes
8,WARD EIGHT MEMBER OF THE COUNCIL                        ,,   ,UNDER VOTES                           ,1525
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,4857
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,7143
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,12364
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,419
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,29
8,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,4402
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,NON,Tierra Jolly                          ,8530
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,NON,Markus Batchelor                      ,9064
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,NON,Shakira T. Hemphill                   ,8230
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,NON,WRITE-IN                              ,193
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,   ,OVER VOTES                            ,23
8,WARD EIGHT MEMBER STATE BOARD OF EDUCATION              ,,   ,UNDER VOTES                           ,3174
